method,k,silhouette,davies_bouldin,calinski_harabasz,bic,aic,elapsed_seconds,adjusted_rand,normalized_mutual_info
GMM,2,0.1840398395399618,1.9920558446084757,382.10364539261406,72342.6752160996,71481.9970930464,4.731685400009155,0.02611978280738345,0.027681510139353754
GMM,3,0.11020846898516763,2.8098307340680093,227.91821610732367,69716.22710248973,68422.43353686784,0.1556531999958679,0.03596022080412156,0.03559142365980141
GMM,4,0.07603352776340815,2.9931053266432754,160.9839167629004,68666.96305950983,66940.05405131922,0.3429410000098869,0.036203360181489785,0.038309130159474306
GMM,5,-0.009617409264196214,2.8254827760141836,180.53010465059512,68025.64393654208,65865.61948578278,0.43292350007686764,0.025932525155330628,0.03335128295594998
GMM,6,-0.020035914689688645,2.7725142067033652,136.58865133371242,67132.95360604022,64539.81371271221,0.5359340999275446,0.03726923695100211,0.050072214230490734
GMM,7,-0.03083216601072289,3.8319971599365616,140.68048808436376,66468.74773754891,63442.492401652205,0.7554298000177369,0.03349393892956828,0.057404259030385
GMM,8,-0.03987225410303646,3.1016292813338127,118.18068218244973,65890.79544037064,62431.42466190523,0.7953429999761283,0.035943950410246124,0.05641392488030919
GMM,9,-0.03011233995241446,3.3273381782442084,129.93014709417398,65962.20493351077,62069.71871247665,1.0843165999976918,0.040417911414310455,0.06414646900817585
GMM,10,-0.014366742406358423,2.7877197550949275,132.7340597536339,66128.04495893887,61802.44329533605,0.9360228000441566,0.039793085189844854,0.06266466997092157
