variant,epochs,best_val_loss,best_val_accuracy,best_val_f1_weighted,elapsed_seconds
BatchNorm -> ReLU -> Dropout,69,1.2882306575775146,0.45026177167892456,0.45192251141485895,
Dropout -> BatchNorm,41,1.253621220588684,0.463350772857666,0.4358541299490187,8.539772500051185
