decision_zone,n_observations,coverage,accuracy,mean_probability
Zona de Confianza,13,0.027253668763102725,0.6923076923076923,0.8848893930769232
Zona de Incertidumbre,393,0.8238993710691824,0.49363867684478374,0.5840075610941476
Zona de Rechazo,71,0.1488469601677149,0.4084507042253521,0.34722683535211263
